# This is a map load by IOMap


#---------Balises---------
<Player:Papa>
<Player:Maman>
<Player:Sonia>
<Player:Mickael>
<Player:Théo>
<Player:Sandra>


#---------Layouts---------
<Layout:BackGround>
{1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4
33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36
65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68
97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100
129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132;129;130;131;132
161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164;161;162;163;164
1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4;1;2;3;4
33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36;33;34;35;36
65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68;65;66;67;68
97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100;97;98;99;100
